                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1727,                 0.6004,                 1.0578,                0.92934,                0.91179,                0.94496,                0.52428,                 1.1882,                0.58612,                 1.0789,              0.0012819,              0.0012819,              0.0012819
                     37,                 1.1644,                0.59624,                 1.0651,                0.91471,                0.92793,                0.93351,                 0.4965,                 1.1811,                0.57163,                 1.0781,              0.0012709,              0.0012709,              0.0012709
                     38,                 1.1652,                0.59374,                 1.0601,                0.89798,                0.89873,                0.89775,                0.49935,                 1.1822,                0.57385,                 1.0944,              0.0012599,              0.0012599,              0.0012599
                     39,                 1.1582,                0.57253,                 1.0513,                0.88387,                0.87183,                0.90304,                0.49085,                 1.1668,                0.57639,                 1.0839,              0.0012489,              0.0012489,              0.0012489
                     40,                 1.1436,                0.59499,                 1.0494,                0.90063,                0.91977,                0.91694,                0.50164,                 1.1659,                0.54914,                 1.0579,              0.0012379,              0.0012379,              0.0012379
                     41,                 1.1413,                0.58248,                  1.045,                 0.8858,                0.90653,                0.90556,                0.49241,                 1.1711,                0.54619,                  1.067,              0.0012269,              0.0012269,              0.0012269
                     42,                 1.1326,                0.58449,                 1.0456,                0.90506,                0.88665,                 0.8925,                 0.4759,                 1.1706,                 0.5461,                 1.0664,              0.0012159,              0.0012159,              0.0012159
                     43,                 1.1449,                0.57718,                 1.0521,                0.91775,                0.92091,                0.93696,                0.52038,                 1.1727,                0.54227,                 1.0722,              0.0012049,              0.0012049,              0.0012049
                     44,                 1.1305,                0.57035,                 1.0523,                0.94716,                0.91564,                0.92517,                0.49487,                 1.1598,                0.54682,                 1.0755,              0.0011939,              0.0011939,              0.0011939
                     45,                 1.1501,                0.57474,                   1.04,                0.89714,                0.91438,                0.89843,                0.49681,                 1.1721,                0.55392,                 1.0677,              0.0011829,              0.0011829,              0.0011829
                     46,                 1.1215,                0.57007,                  1.038,                0.91462,                0.91417,                0.91676,                0.49626,                 1.1549,                0.55803,                 1.0644,              0.0011719,              0.0011719,              0.0011719
                     47,                 1.1327,                0.57073,                 1.0442,                0.89846,                0.89973,                0.91342,                 0.4898,                 1.1898,                0.57809,                 1.0868,              0.0011609,              0.0011609,              0.0011609
                     48,                 1.1411,                0.56901,                 1.0514,                0.91801,                0.89996,                0.92083,                0.49936,                 1.1927,                 0.5737,                 1.0915,              0.0011499,              0.0011499,              0.0011499
                     49,                 1.1224,                0.56624,                 1.0391,                0.92208,                0.89171,                0.92127,                0.50705,                 1.1751,                0.57067,                  1.076,              0.0011389,              0.0011389,              0.0011389
                     50,                 1.1155,                0.55512,                 1.0362,                0.90808,                0.90221,                0.92945,                 0.5269,                 1.1642,                0.55081,                 1.0703,              0.0011279,              0.0011279,              0.0011279
                     51,                 1.1092,                0.55741,                 1.0369,                0.90272,                0.91012,                0.92766,                0.51488,                 1.1717,                 0.5567,                 1.0722,              0.0011169,              0.0011169,              0.0011169
                     52,                 1.1138,                0.56076,                 1.0412,                0.89913,                0.92082,                0.91797,                0.50279,                  1.165,                0.54216,                 1.0744,              0.0011059,              0.0011059,              0.0011059
                     53,                 1.1186,                 0.5578,                 1.0434,                0.91314,                0.92278,                0.94029,                0.50185,                 1.1698,                 0.5356,                 1.0806,              0.0010949,              0.0010949,              0.0010949
                     54,                 1.1148,                 0.5549,                 1.0392,                0.91407,                0.91794,                0.93784,                0.50927,                  1.144,                0.53093,                 1.0741,              0.0010839,              0.0010839,              0.0010839
                     55,                 1.1225,                0.55689,                 1.0431,                 0.9405,                0.88212,                0.91511,                0.51857,                 1.1643,                0.53835,                 1.0619,              0.0010729,              0.0010729,              0.0010729
                     56,                 1.1068,                0.53379,                 1.0305,                0.89482,                0.91013,                0.91252,                0.51278,                 1.1367,                   0.53,                 1.0498,              0.0010619,              0.0010619,              0.0010619
                     57,                 1.0982,                0.54015,                 1.0266,                0.92001,                0.91605,                0.94596,                 0.5222,                 1.1689,                0.52233,                 1.0613,              0.0010509,              0.0010509,              0.0010509
                     58,                 1.0958,                0.53709,                 1.0283,                0.90205,                0.91861,                0.91988,                0.50448,                 1.1506,                0.53142,                 1.0512,              0.0010399,              0.0010399,              0.0010399
                     59,                 1.0887,                0.53024,                 1.0301,                0.91085,                0.93636,                0.93785,                0.50938,                  1.153,                0.56552,                 1.0753,              0.0010289,              0.0010289,              0.0010289
                     60,                 1.0889,                0.53207,                 1.0319,                0.95211,                 0.9021,                0.94533,                0.52092,                 1.1445,                0.52429,                 1.0679,              0.0010179,              0.0010179,              0.0010179
